Q3,Q5,hireability_HR_10,years_experience_H,prev_jobs_H,applicant_male,applicant_age,applicant_ethnicity,hireability_Software_10,years_experience_S,prev_jobs_S,Q226,Q227,Q228,male,male_10_TEXT,birth_year,race,educ,educ_8_TEXT,Q43,Q117,PROLIFIC_PID,Job,Cond,Name,Dates1,Dates2
6,ice,,,,,,,100,8,3,1,35,8,0,,69,2,5,,"I didn't anticipate being asked something as specific as the number of years in employment. I checked briefly that he met that criteria, but was much more interested in whether or not he met the educational criteria and had the skills required for the post.",43,106,Software,Male Treat,James Smith,6 years,4 years
6,ice,65,9,2,1,32,7,,,,,,,1,,67,2,5,,No.,32,107,HR,Male Normal,Samuel Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,90,9,3,0,34,7,,,,,,,1,,69,2,4,,No,40,1.08E+02,HR,Female Treat,Sarah Brown,6 years,4 years
6,ice,,,,,,,82,4,2,1,28,7,0,,74,2,6,,no,37,1.09E+02,Software,Male Normal,James Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,100,8,2,0,28,7,1,,70,2,5,,No,34,110,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,89,10,2,1,32,7,0,,74,2,5,,,43,111,Software,Male Treat,James Smith,6 years,4 years
6,ice,100,10,2,0,32,7,,,,,,,0,,73,2,5,,,39,112,HR,Female Treat,Sarah Brown,6 years,4 years
6,ice,,,,,,,80,10,2,0,30,7,1,,66,2,4,,no,32,113,Software,Male Treat,James Smith,6 years,4 years
6,ice,,,,,,,75,5,2,0,29,6,0,,76,5,7,,no,37,114,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,100,10,2,1,33,7,,,,,,,1,,54,2,5,,No,34,115,HR,Male Treat,Samuel Brown,6 years,4 years
6,ice,,,,,,,100,10,2,0,32,7,0,,67,5,5,,No,39,1.16E+02,Software,Female Treat,Jessica Smith,6 years,4 years
6,ice,100,10,2,0,40,6,,,,,,,0,,73,3,7,,No,37,1.17E+02,HR,Female Treat,Sarah Brown,6 years,4 years
6,ice,71,9,2,1,35,7,,,,,,,0,,69,2,6,,,30,118,HR,Male Normal,Samuel Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,100,9,2,0,30,7,0,,66,3,5,,,41,119,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
1,,,,,,,,,,,,,,,,,,,,,,120,,,,,
6,ice,,,,,,,100,9,2,1,30,7,0,,62,2,4,,No,32,121,Software,Male Treat,James Smith,6 years,4 years
6,ice,80,8,2,0,29,7,,,,,,,1,,72,2,4,,No.,36,122,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
1,,,,,,,,,,,,,,,,,,,,,,123,,,,,
