CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
UKA12	Central (NUTS 1995)	Central (NUTS 1995)	Central (NUTS 1995)	N	
UKA13	Fife (NUTS 1995)	Fife (NUTS 1995)	Fife (NUTS 1995)	N	
UKA14	Lothian (NUTS 1995)	Lothian (NUTS 1995)	Lothian (NUTS 1995)	N	
UKA15	Tayside (NUTS 1995)	Tayside (NUTS 1995)	Tayside (NUTS 1995)	N	
UKA2	Dumfries and Galloway, Strathclyde (NUTS 1995)	Dumfries and Galloway, Strathclyde (NUTS 1995)	Dumfries and Galloway, Strathclyde (NUTS 1995)	N	
UKA21	Dumfries and Galloway (NUTS 1995)	Dumfries and Galloway (NUTS 1995)	Dumfries and Galloway (NUTS 1995)	N	
UKA22	Strathclyde (NUTS 1995)	Strathclyde (NUTS 1995)	Strathclyde (NUTS 1995)	N	
UKA3	Highlands, Islands (NUTS 1995)	Highlands, Islands (NUTS 1995)	Highlands, Islands (NUTS 1995)	N	
UKA31	Highlands (NUTS 1995)	Highlands (NUTS 1995)	Highlands (NUTS 1995)	N	
UKA32	Islands (NUTS 1995)	Islands (NUTS 1995)	Islands (NUTS 1995)	N	
UKA4	Grampian (NUTS 1995)	Grampian (NUTS 1995)	Grampian (NUTS 1995)	N	
UKB	Northern Ireland (UK)(NUTS 1995)	Northern Ireland (UK)(NUTS 1995)	Northern Ireland (UK)(NUTS 1995)	N	
UK_CAP	London	London	London	Y	
UK_DEL	Culham	Culham	Culham	Y	
UKX	Not regionalised/Unknown NUTS 1	Non régionalisé/Inconnue NUTS 1	Nicht regionalisiert/Unbekannte NUTS 1	N	
UKXX	Not regionalised/Unknown NUTS 2	Non régionalisé/Inconnue NUTS 2	Nicht regionalisiert/Unbekannte NUTS 2	N	
UKXXX	Not regionalised/Unknown NUTS 3	Non régionalisé/Inconnue NUTS 3	Nicht regionalisiert/Unbekannte NUTS 3	N	
UK_NAL	United Kingdom, not allocated	Royaume-Uni, non alloué	Vereinigtes Königreich, nicht zugeordnet	Y	
UK_OCT	British overseas countries and territories	Pays et territoires britanniques d'outre-mer	Überseeische Länder und Hoheitsgebiete	Y	
